STUDYID,DOMAIN,USUBJID,DSSEQ,DSTERM,DSDECOD,DSSTDTC,DSSTDY
CIPA001,DS,CIPA001-A-EL2,1,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-A-EL1,2,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-C-EL1,3,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-C-EL2,4,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-D-EL1,5,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-D-EL2,6,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-E-EL1,7,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-E-EL2,8,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-B-EL2,9,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
CIPA001,DS,CIPA001-B-EL1,10,TERMINAL SACRIFICE,TERMINAL SACRIFICE,2026-03-22,1
